entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
2973947,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2973948,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2973949,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2976431,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
2976632,Advertiser,USD,0.2,0.2,0.05,0.05,0.05,0.07,0.1,0.1,0.2
2976633,Advertiser,USD,0.2,0.2,0.02,0.02,0.02,0.02,0.1,0.1,0.13
2977331,Advertiser,NZD,0.28309,0.28309,0.073745,0.073745,0.14749,0.221235,0.14749,0.14749,0.29498
2977431,Advertiser,SGD,0.26744,0.26744,0.03,0.03,0.03,0.03,0.08,0.08,0.18
2977631,Advertiser,USD,0.2,0.2,0.05,0.05,0.05,0.07,0.1,0.1,0.2
2978932,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
2979031,Advertiser,DKK,1.23302,1.23302,0.35,0.35,0.35,0.35,1.19,1.19,1.19
2981333,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
2981334,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
2985637,Advertiser,EUR,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
2985741,Advertiser,RON,0.688223,0.688223,0.098318,0.049159,0.147476,0.589906,0.098318,0.049159,0.147476
2986631,Advertiser,NZD,0.28309,0.28309,0.07365,0.07365,0.1473,0.22095,0.1473,0.1473,0.2946
2986633,Advertiser,CAD,0.25875,0.25875,0.065277,0.065277,0.130555,0.195832,0.130555,0.130555,0.26111
2988733,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988734,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988735,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988736,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
2988737,Advertiser,CAD,0.25875,0.25875,0.067,0.067,0.13,0.067,0.13,0.13,0.27
